Title,Author,Genre,Downloads,Book_URL
Pride and Prejudice,Jane Austen,Fiction,213938,https://www.gutenberg.org/ebooks/1342
"Moby Dick; Or, The Whale",Herman Melville,Fiction,206345,https://www.gutenberg.org/ebooks/2701
A Room with a View,E. M. Forster,Fiction,154087,https://www.gutenberg.org/ebooks/2641
Crime and Punishment,Fyodor Dostoyevsky,Fiction,145677,https://www.gutenberg.org/ebooks/2554
The Secret of Chimneys,Agatha Christie,Fiction,139310,https://www.gutenberg.org/ebooks/65238
The Mysteries of Udolpho,Ann Ward Radcliffe,Fiction,138237,https://www.gutenberg.org/ebooks/3268
Carmen,Prosper Mérimée,Fiction,131761,https://www.gutenberg.org/ebooks/2465
The Green Mummy,Fergus Hume,Fiction,123366,https://www.gutenberg.org/ebooks/2868
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Fiction,121984,https://www.gutenberg.org/ebooks/1661
Jane Eyre: An Autobiography,Charlotte Brontë,Fiction,116417,https://www.gutenberg.org/ebooks/1260
The Blue Castle: a novel,L. M. Montgomery,Fiction,115585,https://www.gutenberg.org/ebooks/67979
"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.",Thomas Peckett Prest and James Malcolm Rymer,Fiction,109597,https://www.gutenberg.org/ebooks/59828
Le Fantôme de l'Opéra (French),Gaston Leroux,Fiction,107437,https://www.gutenberg.org/ebooks/62215
Dracula,Bram Stoker,Fiction,107186,https://www.gutenberg.org/ebooks/345
Alice's Adventures in Wonderland,Lewis Carroll,Fiction,107104,https://www.gutenberg.org/ebooks/11
The Man Who Was Thursday: A Nightmare,G. K. Chesterton,Fiction,103348,https://www.gutenberg.org/ebooks/1695
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,Fiction,102831,https://www.gutenberg.org/ebooks/6133
Sense and Sensibility,Jane Austen,Fiction,101397,https://www.gutenberg.org/ebooks/21839
The Monk: A Romance,M. G. Lewis,Fiction,99698,https://www.gutenberg.org/ebooks/601
The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Fiction,97122,https://www.gutenberg.org/ebooks/43
"Eloisa :  or, A series of original letters",Jean-Jacques Rousseau,Fiction,96009,https://www.gutenberg.org/ebooks/76639
Manon Lescaut,abbé Prévost,Fiction,94745,https://www.gutenberg.org/ebooks/468
The King in Yellow,Robert W. Chambers,Fiction,93977,https://www.gutenberg.org/ebooks/8492
The Misplaced Battleship,Harry Harrison,Fiction,93344,https://www.gutenberg.org/ebooks/22541
Middlemarch,George Eliot,Fiction,92743,https://www.gutenberg.org/ebooks/145
The Mystery of Edwin Drood,Charles Dickens,Fiction,91848,https://www.gutenberg.org/ebooks/564
A farewell to arms,Ernest Hemingway,Fiction,91661,https://www.gutenberg.org/ebooks/75201
"Thuvia, maid of Mars",Edgar Rice Burroughs,Fiction,91032,https://www.gutenberg.org/ebooks/72
The Yeoman Adventurer,George W. Gough,Fiction,89877,https://www.gutenberg.org/ebooks/7326
"Oliver Twist, Vol. 2 (of 3)",Charles Dickens,Fiction,89689,https://www.gutenberg.org/ebooks/47530
A Honeymoon in Space,George Chetwynd Griffith,Fiction,89345,https://www.gutenberg.org/ebooks/19476
The Complete Project Gutenberg Works of Jane Austen,Jane Austen,Fiction,84853,https://www.gutenberg.org/ebooks/31100
"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,Fiction,84520,https://www.gutenberg.org/ebooks/37106
The Sex Life of the Gods,M. E. Knerr,Fiction,82613,https://www.gutenberg.org/ebooks/40284
The Blue Lagoon: A Romance,H. De Vere Stacpoole,Fiction,82499,https://www.gutenberg.org/ebooks/393
Under the Red Dragon: A Novel,James Grant,Fiction,81131,https://www.gutenberg.org/ebooks/53874
The Count of Monte Cristo,Alexandre Dumas and Auguste Maquet,Fiction,81046,https://www.gutenberg.org/ebooks/1184
Catriona,Robert Louis Stevenson,Fiction,81029,https://www.gutenberg.org/ebooks/589
Blow The Man Down: A Romance Of The Coast,Holman Day,Fiction,80659,https://www.gutenberg.org/ebooks/24793
A Study in Scarlet,Arthur Conan Doyle,Fiction,80301,https://www.gutenberg.org/ebooks/244
Twenty years after,Alexandre Dumas and Auguste Maquet,Fiction,78710,https://www.gutenberg.org/ebooks/1259
The Hound of the Baskervilles,Arthur Conan Doyle,Fiction,77693,https://www.gutenberg.org/ebooks/2852
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,Fiction,76600,https://www.gutenberg.org/ebooks/2148
I am a woman,Ann Bannon,Fiction,74584,https://www.gutenberg.org/ebooks/76178
The innocence of Father Brown,G. K. Chesterton,Fiction,74408,https://www.gutenberg.org/ebooks/204
Erotica Romana,Johann Wolfgang von Goethe,Fiction,73815,https://www.gutenberg.org/ebooks/7889
The Turn of the Screw,Henry James,Fiction,73169,https://www.gutenberg.org/ebooks/209
A pair of blue eyes,Thomas Hardy,Fiction,72900,https://www.gutenberg.org/ebooks/224
That Which Hath Wings: A Novel of the Day,Richard Dehan,Fiction,72755,https://www.gutenberg.org/ebooks/51428
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,Fiction,72706,https://www.gutenberg.org/ebooks/2147
Love and Freindship [sic],Jane Austen,Fiction,72691,https://www.gutenberg.org/ebooks/1212
The wisdom of Father Brown,G. K. Chesterton,Fiction,72660,https://www.gutenberg.org/ebooks/223
The murder of Roger Ackroyd,Agatha Christie,Fiction,72444,https://www.gutenberg.org/ebooks/69087
The Pirate,Walter Scott,Fiction,72308,https://www.gutenberg.org/ebooks/42389
Lorna Doone: A Romance of Exmoor,R. D. Blackmore,Fiction,72265,https://www.gutenberg.org/ebooks/17460
Only a girl's love,Charles Garvice,Fiction,72093,https://www.gutenberg.org/ebooks/53416
