Title,Author,Downloads,Book_URL
Pride and Prejudice,Jane Austen,213938 downloads,https://www.gutenberg.org/ebooks/1342
"Moby Dick; Or, The Whale",Herman Melville,206345 downloads,https://www.gutenberg.org/ebooks/2701
The Odyssey,Homer,181199 downloads,https://www.gutenberg.org/ebooks/1727
A Room with a View,E. M. Forster,154087 downloads,https://www.gutenberg.org/ebooks/2641
Crime and Punishment,Fyodor Dostoyevsky,145677 downloads,https://www.gutenberg.org/ebooks/2554
Romeo and Juliet,William Shakespeare,143411 downloads,https://www.gutenberg.org/ebooks/1513
The Secret of Chimneys,Agatha Christie,139310 downloads,https://www.gutenberg.org/ebooks/65238
The Mysteries of Udolpho,Ann Ward Radcliffe,138237 downloads,https://www.gutenberg.org/ebooks/3268
Carmen,Prosper Mérimée,131761 downloads,https://www.gutenberg.org/ebooks/2465
The Green Mummy,Fergus Hume,123366 downloads,https://www.gutenberg.org/ebooks/2868
The Adventures of Sherlock Holmes,Arthur Conan Doyle,121984 downloads,https://www.gutenberg.org/ebooks/1661
Jane Eyre: An Autobiography,Charlotte Brontë,116417 downloads,https://www.gutenberg.org/ebooks/1260
The Blue Castle: a novel,L. M. Montgomery,115585 downloads,https://www.gutenberg.org/ebooks/67979
The Love Letters of Mary Wollstonecraft to Gilbert Imlay,Mary Wollstonecraft,114347 downloads,https://www.gutenberg.org/ebooks/34413
"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.",Thomas Peckett Prest and James Malcolm Rymer,109597 downloads,https://www.gutenberg.org/ebooks/59828
Le Fantôme de l'Opéra (French),Gaston Leroux,107437 downloads,https://www.gutenberg.org/ebooks/62215
Dracula,Bram Stoker,107186 downloads,https://www.gutenberg.org/ebooks/345
Alice's Adventures in Wonderland,Lewis Carroll,107104 downloads,https://www.gutenberg.org/ebooks/11
My Life — Volume 1,Richard Wagner,104041 downloads,https://www.gutenberg.org/ebooks/5197
The Man Who Was Thursday: A Nightmare,G. K. Chesterton,103348 downloads,https://www.gutenberg.org/ebooks/1695
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,102831 downloads,https://www.gutenberg.org/ebooks/6133
The Complete Works of William Shakespeare,William Shakespeare,102086 downloads,https://www.gutenberg.org/ebooks/100
Sense and Sensibility,Jane Austen,101397 downloads,https://www.gutenberg.org/ebooks/21839
The Monk: A Romance,M. G. Lewis,99698 downloads,https://www.gutenberg.org/ebooks/601
The Book of the Thousand Nights and a Night — Volume 01 (of 10),Unknown / Various,98886 downloads,https://www.gutenberg.org/ebooks/51252
Four Arthurian Romances,active 12th century de Troyes Chrétien,98218 downloads,https://www.gutenberg.org/ebooks/831
The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,97122 downloads,https://www.gutenberg.org/ebooks/43
Meditations,Emperor of Rome Marcus Aurelius,97087 downloads,https://www.gutenberg.org/ebooks/2680
The Lady of the Lake,Walter Scott,96287 downloads,https://www.gutenberg.org/ebooks/3011
"Eloisa :  or, A series of original letters",Jean-Jacques Rousseau,96009 downloads,https://www.gutenberg.org/ebooks/76639
Manon Lescaut,abbé Prévost,94745 downloads,https://www.gutenberg.org/ebooks/468
Dracula,Bram Stoker,94738 downloads,https://www.gutenberg.org/ebooks/45839
"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude",Austin Bidwell,94142 downloads,https://www.gutenberg.org/ebooks/24739
The King in Yellow,Robert W. Chambers,93977 downloads,https://www.gutenberg.org/ebooks/8492
The Misplaced Battleship,Harry Harrison,93344 downloads,https://www.gutenberg.org/ebooks/22541
Middlemarch,George Eliot,92743 downloads,https://www.gutenberg.org/ebooks/145
The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,92266 downloads,https://www.gutenberg.org/ebooks/42
