Book_ID,Title,Author,Author_Years,Genre,Language,Subject,Category_Code,Release_Date,Copyright_Status,Downloads,EBook_No,Book_URL
1342,Pride and Prejudice,Jane Austen,1775-1817,Fiction,English,Social classes -- Fiction,Text,"Jun 1, 1998",N/A,180178 downloads,N/A,https://www.gutenberg.org/ebooks/1342
2701,"Moby Dick; Or, The Whale",Herman Melville,1819-1891,Fiction,English,Whaling ships -- Fiction,Text,"Jul 1, 2001",N/A,163269 downloads,N/A,https://www.gutenberg.org/ebooks/2701
2554,Crime and Punishment,Fyodor Dostoyevsky,1821-1881,Fiction,English,Crime -- Psychological aspects -- Fiction,Text,"Mar 28, 2006",N/A,119766 downloads,N/A,https://www.gutenberg.org/ebooks/2554
1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1859-1930,Fiction,English,"Detective and mystery stories, English",Text,"Mar 1, 1999",N/A,108136 downloads,N/A,https://www.gutenberg.org/ebooks/1661
11,Alice's Adventures in Wonderland,Lewis Carroll,1832-1898,Fiction,English,Alice (Fictitious character from Carroll) -- Juvenile fiction,Text,"Jun 27, 2008",N/A,103623 downloads,N/A,https://www.gutenberg.org/ebooks/11
84,"Frankenstein; or, the modern prometheus",Mary Wollstonecraft Shelley,1797-1851,Fiction,English,Frankenstein's monster (Fictitious character) -- Fiction,Text,"Oct 1, 1993",N/A,97219 downloads,N/A,https://www.gutenberg.org/ebooks/84
345,Dracula,Bram Stoker,1847-1912,Fiction,English,Whitby (England) -- Fiction,Text,"Oct 1, 1995",N/A,93458 downloads,N/A,https://www.gutenberg.org/ebooks/345
43,The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1850-1894,Fiction,English,Multiple personality -- Fiction,Text,"Jun 27, 2008",N/A,89845 downloads,N/A,https://www.gutenberg.org/ebooks/43
65238,The Secret of Chimneys,Agatha Christie,1890-1976,Fiction,English,"Battle, Superintendent (Fictitious character) -- Fiction",Text,"May 3, 2021",N/A,88878 downloads,N/A,https://www.gutenberg.org/ebooks/65238
3268,The Mysteries of Udolpho,Ann Ward Radcliffe,1764-1823,Fiction,English,Italy -- Fiction,Text,"Jun 1, 2002",N/A,86631 downloads,N/A,https://www.gutenberg.org/ebooks/3268
2641,A Room with a View,E. M. Forster,N/A,Fiction,N/A,N/A,N/A,N/A,N/A,86500 downloads,N/A,https://www.gutenberg.org/ebooks/2641
